455370,455370,22.3022544681,114.1898715545,5.7260235371
455371,455371,22.3022839728,114.1898324697,5.3897399881
455372,455372,22.3022987602,114.1897889403,5.3618713141
455373,455373,22.3023070258,114.1897474177,4.6250286604
455374,455374,22.3023039113,114.1897055514,4.2719265764
455375,455375,22.3022894207,114.1896646461,4.0399836263
455376,455376,22.3022683646,114.1896277423,3.9375838457
455377,455377,22.3022457882,114.1895922576,3.9458056702
455378,455378,22.3022227700,114.1895564355,4.0928254243
455379,455379,22.3022015339,114.1895224534,3.9322335028
455380,455380,22.3021804197,114.1894910844,3.7101666708
455381,455381,22.3021626894,114.1894661418,3.1077847313
455382,455382,22.3021441143,114.1894387767,2.8920799882
455383,455383,22.3021242173,114.1894109846,2.3657951864
455384,455384,22.3021023407,114.1893806020,2.0172857885
455385,455385,22.3020818030,114.1893452958,2.4074280522
455386,455386,22.3020611102,114.1893056597,2.3482913303
455387,455387,22.3020443528,114.1892590403,2.1480559505
455388,455388,22.3020346069,114.1892117161,2.2838746419
455389,455389,22.3020366253,114.1891614244,2.5977860156
455390,455390,22.3020478493,114.1891119861,3.6242028290
455391,455391,22.3020484049,114.1890433085,0.3755453450
455392,455392,22.3020803865,114.1889909788,1.2537103066
455393,455393,22.3021275153,114.1889447984,4.4593923756
455394,455394,22.3021620750,114.1889000109,5.8274061991
455395,455395,22.3022082880,114.1888646754,10.3911017730
455396,455396,22.3022228459,114.1888280985,9.2812653712
455397,455397,22.3022310086,114.1888009968,8.4913052950
455398,455398,22.3022358775,114.1887829679,7.9876225958
455399,455399,22.3022385725,114.1887691247,7.6848082624
455400,455400,22.3022408868,114.1887537927,7.5441146339
455401,455401,22.3022428522,114.1887381724,7.9949890086
455402,455402,22.3022398927,114.1887258721,8.2925931370
455403,455403,22.3022304606,114.1887160330,8.5334835136
455404,455404,22.3022225675,114.1887137059,8.1233418839
455405,455405,22.3022199208,114.1887142471,7.2701464332
455406,455406,22.3022174311,114.1887145432,6.2721195834
455407,455407,22.3022148411,114.1887141456,5.2244830250
455408,455408,22.3022114169,114.1887133007,4.0973191954
455409,455409,22.3022123162,114.1887142978,4.2502489198
455410,455410,22.3022128058,114.1887146449,4.2582341007
455411,455411,22.3022129113,114.1887143751,4.2961755543
455412,455412,22.3022130286,114.1887140478,4.3120946025
455413,455413,22.3022129330,114.1887140977,4.4276394704
455414,455414,22.3022129708,114.1887137072,4.3812712450
455415,455415,22.3022127172,114.1887136422,4.4377783646
455416,455416,22.3022121495,114.1887134858,4.4027365605
455417,455417,22.3022118874,114.1887134835,4.3562543308
455418,455418,22.3022116363,114.1887129744,4.1638618523
455419,455419,22.3022114766,114.1887124961,4.1490606579
455420,455420,22.3022110768,114.1887121720,4.1014583050
455421,455421,22.3022112698,114.1887122976,4.1089978423
455422,455422,22.3022105066,114.1887117905,4.0323752761
455423,455423,22.3022099788,114.1887112761,3.9103973872
455424,455424,22.3022087974,114.1887105775,3.7296480491
455425,455425,22.3022083110,114.1887101891,3.5920390361
455426,455426,22.3022076794,114.1887100590,3.4470486753
455427,455427,22.3022072551,114.1887102095,3.4612820273
455428,455428,22.3022069527,114.1887096175,3.3953247678
455429,455429,22.3022062201,114.1887091138,3.2265812015
455430,455430,22.3022055558,114.1887084579,3.1358950724
455431,455431,22.3022051384,114.1887076682,3.0617136180
455432,455432,22.3022046872,114.1887074656,3.0428790093
455433,455433,22.3022034764,114.1887070847,2.8412491422
455434,455434,22.3022027343,114.1887063654,2.8096433632
455435,455435,22.3022022186,114.1887054844,2.6638650533
455436,455436,22.3022013329,114.1887047310,2.6684041287
455437,455437,22.3022004251,114.1887039299,2.5533522090
455438,455438,22.3021998348,114.1887030091,2.5681771018
455439,455439,22.3021987761,114.1887019310,2.6606170629
455440,455440,22.3021974373,114.1887003583,2.6519361864
455441,455441,22.3021957661,114.1886988260,2.7013966913
455442,455442,22.3021903326,114.1886954888,2.6205710699
455443,455443,22.3021702855,114.1886879230,2.7109480470
455444,455444,22.3021378257,114.1886752127,3.0810618838
455445,455445,22.3020908143,114.1886504064,3.6880701778
455446,455446,22.3020355140,114.1886150778,4.0493105242
455447,455447,22.3019755166,114.1885751479,4.4578502717
455448,455448,22.3019047325,114.1885382070,2.1891148073
455449,455449,22.3018379440,114.1884995390,-0.2546424525
455450,455450,22.3017824429,114.1884410003,-0.5459664297
455451,455451,22.3017321180,114.1883775577,-0.5749355452
455452,455452,22.3016892978,114.1883203498,-0.5302067700
455453,455453,22.3016466554,114.1882552702,-0.2042238897
455454,455454,22.3016048756,114.1881839126,0.1286309845
455455,455455,22.3015731806,114.1881063259,-0.1547569000
455456,455456,22.3015162315,114.1880476530,1.2453933052
455457,455457,22.3014709129,114.1879883331,1.8593482445
455458,455458,22.3014470584,114.1879230258,1.7058869660
455459,455459,22.3014249694,114.1878650366,1.8287801319
455460,455460,22.3014052145,114.1878151336,1.9084117194
455461,455461,22.3013858412,114.1877789761,1.4766789851
455462,455462,22.3013848425,114.1877494429,1.4037593346
455463,455463,22.3013771724,114.1877397647,1.5749243522
455464,455464,22.3013741143,114.1877346863,1.7118539262
455465,455465,22.3013784392,114.1877282999,1.9367298026
455466,455466,22.3013828205,114.1877254889,2.1071757680
455467,455467,22.3013801342,114.1877232171,2.1183629022
455468,455468,22.3013813860,114.1877204624,2.1532509822
455469,455469,22.3013808322,114.1877213286,2.0762703441
455470,455470,22.3013834097,114.1877203664,2.1242228441
455471,455471,22.3013871618,114.1877185285,2.3267631506
455472,455472,22.3013844685,114.1877197885,2.3226573233
